ident,PNs,Date,Quantity,Material,Bought Out,Sub-Con,Machining,Fabrication,Test & Assy,Margin,Unit Cost,Total Unit Sell - No Spares,Total Ext Sell - No Spares,Spare PNs,Total Ext Sell - Spares,Total Unit Sell,Total Ext Sell,Excel Name,Customer,Item Number,Deal Machine ID
Apache FCM EUK 1722521 Trees Rev 0.xlsx - 3,A242286-1REF,2018-01-18,1,,209717.64,,,,,0.45,209717.64,381304.81,381304.81,[],0.0,381304.81,381304.81,Apache FCM EUK 1722521 Trees Rev 0.xlsx,Apache,3,
Apache FCM EUK 1722521 Trees Rev 0.xlsx - 3.1,A242286-1REF,2018-01-18,2,,209717.64,,,,,0.45,209717.64,381304.81,762609.61,[],0.0,381304.81,762609.61,Apache FCM EUK 1722521 Trees Rev 0.xlsx,Apache,3.1,
Apache FCM EUK 1722521 Trees Rev 0.xlsx - 3.2,A242286-1REF,2018-01-18,5,,209717.64,,,,,0.44,209717.64,375478.0,1877390.0,[],0.0,375478.0,1877390.0,Apache FCM EUK 1722521 Trees Rev 0.xlsx,Apache,3.2,
EUK 1725353 - Apache - CM  -Rev 00.xlsx - 1,163275,2017-08-15,1,,3082.22,,,,,0.35,3082.22,4741.88,4741.88,[],0.0,4741.88,4741.88,EUK 1725353 - Apache - CM  -Rev 00.xlsx,Apache,1,
EUK 1725353 - Apache - CM  -Rev 00.xlsx - 2,161076,2017-08-15,1,,2828.74,,,,,0.35,2828.74,4351.91,4351.91,[],0.0,4351.91,4351.91,EUK 1725353 - Apache - CM  -Rev 00.xlsx,Apache,2,
Apache EUK 1744652 FCM Rev 00.xlsx - 1,376468,2017-09-20,1,,22402.77,547.08,,1590.0,,0.34,24539.85,37438.08,37438.08,[],0.0,37438.08,37438.08,Apache EUK 1744652 FCM Rev 00.xlsx,Apache,1,
Apache EUK 1744652 FCM Rev 00.xlsx - 2,376468,2017-09-20,2,,22402.77,547.08,,1565.0,,0.33,24514.85,36318.29,72636.59,[],0.0,36318.29,72636.59,Apache EUK 1744652 FCM Rev 00.xlsx,Apache,2,
EUK 1758837 Rev 0.xlsx - 1,369627,2017-10-02,2,,9368.0,500.0,155.0,,,0.35,10023.0,15420.0,30840.0,[],0.0,15420.0,30840.0,EUK 1758837 Rev 0.xlsx,Apache,1,
Apache FCM EUK 1647999 Tubing Hgrs Rev 00.xlsx - 1,D70884-1,2017-03-13,2,,11834.18,,,,,0.35,11834.18,18206.44,36412.87,[],0.0,18206.44,36412.87,Apache FCM EUK 1647999 Tubing Hgrs Rev 00.xlsx,Apache,1,
Apache FCM EUK 1647999 Tubing Hgrs Rev 01.xlsx - 1,D70884-1REF,2017-04-24,2,,20872.78,873.68,,,,0.34,21746.46,32949.18,65898.35,[],0.0,32949.18,65898.35,Apache FCM EUK 1647999 Tubing Hgrs Rev 01.xlsx,Apache,1,
